x  y  k1  k2 
1.0447553777242202  0.0000000000000000  1.091169527  1.091169527 
1.0446228080602415  0.0155853260397273  1.091117192  1.091124738 
1.0442251394558857  0.0311664750603104  1.090945467  1.091068753 
1.0435624948232447  0.0467392728383412  1.090654421  1.090972986 
1.0426350799669986  0.0622995480531485  1.090249444  1.090838198 
1.0414431826747745  0.0778431349240239  1.089729927  1.090665052 
1.0399871725159779  0.0933658748522718  1.089096744  1.090453850 
1.0382675006104320  0.1088636182175512  1.088350855  1.090204911 
1.0362846993028938  0.1243322261403417  1.087493434  1.089918587 
1.0340393817747766  0.1397675722374433  1.086525829  1.089595277 
1.0315322415963157  0.1551655443596928  1.085449557  1.089235427 
1.0287640522207520  0.1705220463120149  1.084266302  1.088839530 
1.0257356664220423  0.1858329995526845  1.082977905  1.088408127 
1.0224480156773015  0.2010943448699669  1.081586364  1.087941803 
1.0189021094952657  0.2163020440339549  1.080093820  1.087441189 
1.0150990346921314  0.2314520814216226  1.078502560  1.086906960 
1.0110399546162077  0.2465404656131422  1.076815003  1.086339829 
1.0067261083229011  0.2615632309575938  1.075033696  1.085740555 
1.0021588097016634  0.2765164391062663  1.073161310  1.085109929 
0.9973394465565740  0.2913961805118197  1.071200629  1.084448785 
0.9922694796423587  0.3061985758916847  1.069154541  1.083757987 
0.9869504416576991  0.3209197776541288  1.067026037  1.083038434 
0.9813839361977672  0.3355559712855410  1.064818197  1.082291058 
0.9755716366679578  0.3501033766975603  1.062534186  1.081516817 
0.9695152851609355  0.3645582495327770  1.060177243  1.080716699 
0.9632166912990550  0.3789168824278443  1.057750679  1.079891715 
0.9566777310443414  0.3931756062329466  1.055257860  1.079042902 
0.9499003454782905  0.4073307911865965  1.052702210  1.078171316 
0.9428865395536374  0.4213788480450379  1.050087195  1.077278034 
0.9356383808204682  0.4353162291654083  1.047416318  1.076364150 
0.9281579981289532  0.4491394295420253  1.044693115  1.075430773 
0.9204475803109465  0.4628449877954043  1.041921140  1.074479026 
0.9125093748429215  0.4764294871134412  1.039103968  1.073510043 
0.9043456864924566  0.4898895561445795  1.036245179  1.072524968 
0.8959588759506312  0.5032218698427920  1.033348357  1.071524953 
0.8873513584527334  0.5164231502641722  1.030417081  1.070511155 
0.8785256023894183  0.5294901673153900  1.027454920  1.069484736 
0.8694841279107987  0.5424197394539279  1.024465427  1.068446860 
0.8602295055255186  0.5552087343406431  1.021452132  1.067398693 
0.8507643546971785  0.5678540694447095  1.018418540  1.066341398 
0.8410913424401817  0.5803527126016564  1.015368120  1.065276136 
0.8312131819172320  0.5927016825248770  1.012304308  1.064204066 
0.8211326310404045  0.6048980492714757  1.009230497  1.063126338 
0.8108524910779562  0.6169389346629963  1.006150032  1.062044099 
0.8003756052687163  0.6288215126620148  1.003066213  1.060958485 
0.7897048574459964  0.6405430097054665  0.999982283  1.059870624 
0.7788431706728259  0.6521007049956784  0.996901432  1.058781632 
0.7677935058901937  0.6634919307502889  0.993826789  1.057692614 
0.7565588605800911  0.6747140724120494  0.990761420  1.056604662 
0.7451422674447062  0.6857645688198791  0.987708331  1.055518855 
0.7335467931035190  0.6966409123423124  0.984670458  1.054436255 
0.7217755368095210  0.7073406489746693  0.981650669  1.053357910 
0.7098316291858635  0.7178613784015827  0.978651765  1.052284851 
0.6977182309845109  0.7282007540256832  0.975676474  1.051218091 
0.6854385318673200  0.7383564829647645  0.972727452  1.050158627 
0.6729957492115433  0.7483263260179690  0.969807282  1.049107435 
0.6603931269397031  0.7581080976035213  0.966918474  1.048065472 
0.6476339343756481  0.7676996656684365  0.964063466  1.047033678 
0.6347214651268003  0.7770989515727835  0.961244617  1.046012969 
0.6216590359938486  0.7863039299494216  0.958464215  1.045004243 
0.6084499859080207  0.7953126285410731  0.955724473  1.044008375 
0.5950976748967439  0.8041231280161930  0.953027532  1.043026221 
0.5816054830781173  0.8127335617652977  0.950375455  1.042058614 
0.5679768096842550  0.8211421156792996  0.947770236  1.041106364 
0.5542150721141506  0.8293470279114401  0.945213796  1.040170261 
0.5403237050157598  0.8373465886243684  0.942707983  1.039251073 
0.5263061593978133  0.8451391397238974  0.940254576  1.038349543 
0.5121659017712857  0.8527230745809530  0.937855282  1.037466393 
0.4979064133201177  0.8600968377434014  0.935511743  1.036602325 
0.4835311891015485  0.8672589246388513  0.933225529  1.035758014 
0.4690437372755646  0.8742078812702795  0.930998149  1.034934115 
0.4544475783632327  0.8809423039057359  0.928831041  1.034131261 
0.4397462445335183  0.8874608387635428  0.926725583  1.033350061 
0.4249432789186154  0.8937621816942369  0.924683091  1.032591102 
0.4100422349565251  0.8998450778607582  0.922704816  1.031854950 
0.3950466757613423  0.9057083214181219  0.920791953  1.031142147 
0.3799601735197485  0.9113507551936774  0.918945635  1.030453213 
0.3647863089139848  0.9167712703694605  0.917166941  1.029788647 
0.3495286705697660  0.9219688061673814  0.915456892  1.029148926 
0.3341908545293706  0.9269423495387852  0.913816454  1.028534504 
0.3187764637480997  0.9316909348592923  0.912246543  1.027945816 
0.3032891076144391  0.9362136436297729  0.910748018  1.027383271 
0.2877324014921394  0.9405096041848439  0.909321691  1.026847262 
0.2721099662839503  0.9445779914094607  0.907968324  1.026338158 
0.2564254280158612  0.9484180264646807  0.906688629  1.025856306 
0.2406824174410772  0.9520289765234752  0.905483272  1.025402034 
0.2248845696625673  0.9554101545173316  0.904352873  1.024975650 
0.2090355237733645  0.9585609188943995  0.903298007  1.024577439 
0.1931389225137425  0.9614806733898307  0.902319203  1.024207666 
0.1771984119438525  0.9641688668092950  0.901416949  1.023866578 
0.1612176411312255  0.9666249928257985  0.900591691  1.023554400 
